1	2011-11-24 11:00:00		
2	2011-11-24 13:00:00		
3	2011-11-24 12:30:00	1	
4	2011-11-24 13:00:00		
5	2011-11-24 13:30:00		
6	2011-11-25 10:30:00		
7	2011-11-25 11:30:00		
8	2011-11-26 15:04:00		
9	2011-11-27 15:13:00	1	
10	2011-11-27 15:14:00		
11	2011-11-27 11:45:18		
12	2011-11-27 15:14:00		
13	2011-11-27 11:45:18		
14	2011-11-27 15:14:00		
15	2011-11-27 11:45:18		
16	2011-11-28 11:45:18	1	
17	2011-11-28 13:45:18		
18	2011-11-29 12:45:18		
19	2011-11-29 15:45:18	1	
20	2011-11-29 17:45:18		
21	2011-11-30 10:00:00		
22	2011-11-30 11:00:00	1	
23	2011-11-30 13:00:00		
24	2011-12-01 11:20:00		
25	2011-12-01 11:40:00	1	
26	2011-12-01 13:00:00		
27	2011-12-01 13:20:00		
28	2011-12-02 11:20:00		
29	2011-12-04 11:20:00		
30	2011-12-05 11:20:00	1	
31	2011-12-10 11:01:12		
32	2011-12-12 10:31:30		
33	2011-12-14 14:24:45	1	
34	2011-12-15 15:02:23		
35	2011-12-20 18:20:20		
36	2011-12-20 10:30:00		
37	2011-12-22 10:33:00		
38	2011-12-22 15:04:00		
39	2011-12-25 15:13:00	1	
40	2011-12-25 15:14:00		
41	2011-12-26 11:45:18		
42	2011-12-27 15:14:00		
43	2011-12-27 11:45:18		
44	2011-12-28 15:14:00		
45	2011-12-28 11:45:18		
46	2011-12-29 11:45:18		
47	2011-12-29 13:45:18		
48	2011-12-30 12:45:18	1	
49	2011-12-30 15:45:18	1	
50	2011-12-30 17:20:00		
51	2011-12-30 18:20:00	1	
52	2011-12-30 18:30:00		
53	2011-12-31 14:24:45	1	
54	2011-12-31 15:02:23		
55	2011-12-31 16:20:20		
56	2011-12-31 17:30:00	1	
57	2011-12-31 17:33:00		
58	2011-12-31 18:04:00		
59	2011-12-31 18:13:00	1	
