1	9	\N	2	3.99	0.07
1	12	\N	1	4.00	0.07
1	11	\N	4	2.75	0.07
2	10	\N	2	2.00	0.07
3	9	\N	1	3.99	0.07
4	14	\N	10	2.00	0.07
4	13	\N	1	1.80	0.07
4	11	\N	1	2.75	0.07
5	12	\N	1	4.00	0.07
6	9	\N	3	3.99	0.07
6	10	\N	1	2.00	0.07
7	11	\N	2	2.75	0.07
8	12	\N	2	4.00	0.07
8	9	\N	1	3.99	0.07
9	13	\N	1	1.80	0.07
10	11	\N	3	2.75	0.07
11	14	\N	2	2.00	0.07
12	11	\N	3	2.75	0.07
13	14	\N	2	2.00	0.07
14	11	\N	3	2.75	0.07
15	14	\N	2	2.00	0.07
15	10	\N	4	2.00	0.07
16	11	\N	3	2.75	0.07
16	9	\N	2	3.99	0.07
16	13	\N	1	1.80	0.07
16	14	\N	1	2.00	0.07
17	12	\N	2	4.00	0.07
17	10	\N	1	2.00	0.07
17	9	\N	3	3.99	0.07
18	12	\N	1	4.00	0.07
18	13	\N	2	1.80	0.07
19	10	\N	2	2.00	0.07
19	9	\N	2	3.99	0.07
20	14	\N	3	2.00	0.07
21	9	\N	2	3.99	0.07
21	10	\N	1	2.00	0.07
21	11	\N	1	2.75	0.07
22	12	\N	2	4.00	0.07
22	14	\N	1	2.00	0.07
23	13	\N	2	1.80	0.07
23	10	\N	3	2.00	0.07
23	9	\N	1	3.99	0.07
24	9	\N	2	3.99	0.07
24	10	\N	1	2.00	0.07
25	11	\N	2	2.75	0.07
25	10	\N	5	2.00	0.07
25	13	\N	2	1.80	0.07
26	14	\N	1	2.00	0.07
27	10	\N	2	2.00	0.07
27	9	\N	1	3.99	0.07
27	11	\N	2	2.75	0.07
28	12	\N	1	4.00	0.07
28	13	\N	2	1.80	0.07
29	9	\N	3	3.99	0.07
29	10	\N	4	2.00	0.07
29	11	\N	1	2.75	0.07
29	12	\N	2	4.00	0.07
29	13	\N	3	1.80	0.07
29	14	\N	2	2.00	0.07
30	9	\N	5	3.99	0.07
30	14	\N	1	2.00	0.07
31	9	\N	2	3.99	0.07
31	12	\N	1	4.00	0.07
31	11	\N	4	2.75	0.07
32	10	\N	2	2.00	0.07
33	9	\N	1	3.99	0.07
34	14	\N	10	2.00	0.07
34	13	\N	1	1.80	0.07
34	11	\N	1	2.75	0.07
35	12	\N	1	4.00	0.07
36	9	\N	3	3.99	0.07
36	10	\N	1	2.00	0.07
37	11	\N	2	2.75	0.07
38	12	\N	2	4.00	0.07
38	9	\N	1	3.99	0.07
39	13	\N	1	1.80	0.07
40	11	\N	3	2.75	0.07
41	14	\N	2	2.00	0.07
42	11	\N	3	2.75	0.07
43	14	\N	2	2.00	0.07
44	11	\N	3	2.75	0.07
45	14	\N	2	2.00	0.07
45	10	\N	4	2.00	0.07
46	11	\N	3	2.75	0.07
46	9	\N	2	3.99	0.07
46	13	\N	1	1.80	0.07
46	14	\N	1	2.00	0.07
47	12	\N	2	4.00	0.07
47	10	\N	1	2.00	0.07
47	9	\N	3	3.99	0.07
48	12	\N	1	4.00	0.07
48	13	\N	2	1.80	0.07
49	10	\N	2	2.00	0.07
49	9	\N	2	3.99	0.07
50	11	\N	1	2.75	0.07
50	13	\N	3	1.80	0.07
50	14	\N	1	2.00	0.07
51	9	\N	1	3.99	0.07
51	11	\N	1	2.75	0.07
52	12	\N	2	4.00	0.07
52	11	\N	1	2.75	0.07
53	9	\N	1	3.99	0.07
54	14	\N	10	2.00	0.07
54	13	\N	1	1.80	0.07
54	11	\N	1	2.75	0.07
55	12	\N	1	4.00	0.07
56	9	\N	3	3.99	0.07
56	10	\N	1	2.00	0.07
57	11	\N	2	2.75	0.07
58	12	\N	2	4.00	0.07
58	9	\N	1	3.99	0.07
59	13	\N	1	1.80	0.07
